,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Real Sociedad Feminino,Madrid CFF,0,1,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 21. Gili ', ' 5. Torre Larrañaga ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 17. Poljak ', ' 25. Lete Para ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 21. Gili ', ' 5. Torre Larrañaga ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 17. Poljak ', ' 25. Lete Para ']","[{'time': 29, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Daiane', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 32, 'player_1': 'Itziar Pinillos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Rikke Madsen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Allegra Poljak', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Ana Tejada', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Mirari Uria', 'player_2': 'Gemma Gili', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Nuria Martinez', 'player_2': 'Daiane', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Lauren', 'player_2': 'Estela Fernández', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Synne Jensen', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Victoria', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Silvia Rubio', 'player_2': 'Geyse', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
1,26/03/22,Madrid CFF,Barcelona Feminino,1,2,"[' 23. Geyse ', ' 19. Madsen ', ' 18. Chikwelu ', ' 17. Youngju ', ' 6. Martinez Segarra ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 16. Pinillos Moreno ', ' 3. da Costa Silva ', ' 4. Daiane ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 19. Madsen ', ' 18. Chikwelu ', ' 17. Youngju ', ' 6. Martinez Segarra ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 16. Pinillos Moreno ', ' 3. da Costa Silva ', ' 4. Daiane ', ' 1. Ulloa Jiménez ']","[{'time': 3, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 9, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 31, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 38, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Alexia Putellas', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Silvia Rubio', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 48, 'player_1': 'Alexia Putellas', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 60, 'player_1': 'Marta Torrejón', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Júlia Bartel', 'player_2': 'Jennifer Hermoso', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Melani Serrano', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Ebba Hed', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Esther Laborde', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Monica', 'player_2': 'Daiane', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Victoria', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
2,17/03/22,Madrid CFF,Universidade Cajasol Trigueros,1,2,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 18. Chikwelu ', ' 17. Youngju ', ' 14. Rubio Álvarez ', ' 26. Pardo Méndez ', ' 7. Domínguez Rojo ', ' 5. Monica ', ' 3. da Costa Silva ', ' 20. Leal Costa ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 18. Chikwelu ', ' 17. Youngju ', ' 14. Rubio Álvarez ', ' 26. Pardo Méndez ', ' 7. Domínguez Rojo ', ' 5. Monica ', ' 3. da Costa Silva ', ' 20. Leal Costa ', ' 1. Ulloa Jiménez ']","[{'time': 26, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 39, 'player_1': 'Geyse', 'player_2': 'Gabi Nunes', 'event': 'Gol'}, {'time': 55, 'player_1': 'Cinta Del Mar', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Chini Pizarro', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Mayra Ramírez', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Maria Bonsegundo', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Ebba Hed', 'player_2': 'Silvia Rubio', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Geyse', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 80, 'player_1': 'Judith Luzuriaga', 'player_2': 'Kristina Fisher', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Victoria', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Rikke Madsen', 'player_2': 'Lucía Pardo', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Victoria', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Lee Youngju', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Maria Bonsegundo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 119, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 120, 'player_1': 'Daiane', 'player_2': 'Antônia', 'event': 'Substituição'}, {'time': 121, 'player_1': 'Ana Marcos', 'player_2': 'Mayra Ramírez', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '17/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
3,12/03/22,Athletic Bilbao Feminino,Madrid CFF,2,1,"[' 19. Vazquez ', ' 17. García ', ' 9. Corres Somovilla ', ' 16. Azkona Fuente ', ' 28. Pinedo Castresana ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 19. Vazquez ', ' 17. García ', ' 9. Corres Somovilla ', ' 16. Azkona Fuente ', ' 28. Pinedo Castresana ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 3, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 43, 'player_1': 'Yulema Corres', 'player_2': '', 'event': 'Gol'}, {'time': 44, 'player_1': 'Ane Azkona', 'player_2': 'Irene Oguiza', 'event': 'Gol'}, {'time': 46, 'player_1': 'Nekane Díez', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Erika Vazquez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Laura Domínguez', 'player_2': 'Itziar Pinillos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Lucía Pardo', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Nuria Martinez', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Itxaso Uriarte', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Gabi Nunes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 76, 'player_1': 'Eunate Arraiza', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Mariana Cerro', 'player_2': 'Clara Pinedo', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Rikke Madsen', 'player_2': 'Lauren', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
4,06/03/22,Madrid CFF,Valência Feminino,1,0,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 17. Youngju ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 14. Rubio Álvarez ', ' 20. Leal Costa ', ' 3. da Costa Silva ', ' 5. Monica ', ' 13. Expósito Reyes ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 17. Youngju ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 14. Rubio Álvarez ', ' 20. Leal Costa ', ' 3. da Costa Silva ', ' 5. Monica ', ' 13. Expósito Reyes ']","[{'time': 35, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 38, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Geyse', 'player_2': 'Gabi Nunes', 'event': 'Gol'}, {'time': 62, 'player_1': 'Ainhoa Alguacil', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Julia Aguado', 'player_2': 'María Jiménez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Lucía Pardo', 'player_2': 'Geyse', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Nuria Martinez', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Olga San Nicolas', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Itziar Pinillos', 'player_2': 'Laura Domínguez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
5,03/03/22,Espanyol Feminino,Madrid CFF,1,2,"[' 10. Szymanowski Alonso ', ' 24. Fernández Parra ', ' 32. Yazbeck ', ' 7. Baudet Lucena ', ' 17. Marín de la Fuente ', ' 6. López Opazo ', ' 11. Extremera Sola ', ' 22. Caracas González ', ' 5. Pérez Almiñana ', ' 21. Guerra Peiró ', ' 13. Myllyoja ']","[' 10. Szymanowski Alonso ', ' 24. Fernández Parra ', ' 32. Yazbeck ', ' 7. Baudet Lucena ', ' 17. Marín de la Fuente ', ' 6. López Opazo ', ' 11. Extremera Sola ', ' 22. Caracas González ', ' 5. Pérez Almiñana ', ' 21. Guerra Peiró ', ' 13. Myllyoja ']","[{'time': 3, 'player_1': 'Cristina Baudet', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Judit Pablos', 'player_2': 'Dana Yazbeck', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Manuela Lareo', 'player_2': 'Nora Fernández', 'event': 'Substituição'}, {'time': 48, 'player_1': 'Marianela Szymanowski', 'player_2': '', 'event': 'Gol'}, {'time': 51, 'player_1': 'Geyse', 'player_2': 'Laura Domínguez', 'event': 'Gol'}, {'time': 57, 'player_1': 'Silvia Rubio', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Victoria', 'player_2': 'Lucía Pardo', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Carol Marín', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 73, 'player_1': 'Laia Jordán', 'player_2': 'Carol Marín', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Clara de Clemente', 'player_2': 'Marianela Szymanowski', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Victoria', 'player_2': 'Gabi Nunes', 'event': 'Gol'}, {'time': 91, 'player_1': 'Ariadna Sánchez', 'player_2': 'Nayadet López', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Xènia Pérez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Monica', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '03/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciutat Esportiva Dani Jarque'}]"
6,13/02/22,Rayo Valhecano Feminino,Madrid CFF,3,2,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 20. Struck ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 20. Struck ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[{'time': 3, 'player_1': 'Paula Fernández', 'player_2': 'Camila Saez', 'event': 'Gol'}, {'time': 8, 'player_1': 'Camila Saez', 'player_2': 'Paula Fernández', 'event': 'Gol'}, {'time': 37, 'player_1': 'Patricia Larqué', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Rita Chikwelu', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Nuria Martinez', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 74, 'player_1': 'Isadora Freitas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Claudia Cabezas', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Rikke Madsen', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 79, 'player_1': 'LaiaBallesté', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 84, 'player_1': 'LaiaBallesté', 'player_2': 'Camila Saez', 'event': 'Gol'}, {'time': 91, 'player_1': 'Danielle Hayden', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 4'}]"
7,06/02/22,Madrid CFF,UDG Tenerife,0,1,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 14. Rubio Álvarez ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 20. Leal Costa ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 5. Monica ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 14. Rubio Álvarez ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 20. Leal Costa ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 5. Monica ', ' 1. Ulloa Jiménez ']","[{'time': 23, 'player_1': 'Rikke Madsen', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Noelia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Jassina Blom', 'event': 'Gol'}, {'time': 65, 'player_1': 'Ange Nguessan', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Michelle De Jongh', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Vicky López', 'player_2': 'Lauren', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Sara Lopez', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ange Nguessan', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 88, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
8,02/02/22,Atlético de Madrid Feminino,Madrid CFF,3,2,"[' 10. Santos ', ' 16. Ajibade ', ' 6. Sampedro ', ' 15. Meseguer ', ' 7. López Millán ', ' 22. Banini ', ' 11. Menayo Montero ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 10. Santos ', ' 16. Ajibade ', ' 6. Sampedro ', ' 15. Meseguer ', ' 7. López Millán ', ' 22. Banini ', ' 11. Menayo Montero ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 7, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Amanda Sampedro', 'event': 'Gol'}, {'time': 17, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 21, 'player_1': 'Aissatou Tounkara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 22, 'player_1': 'Geyse', 'player_2': 'Pênalti', 'event': ''}, {'time': 40, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Gol'}, {'time': 56, 'player_1': 'Amanda Sampedro', 'player_2': 'Pênalti', 'event': ''}, {'time': 62, 'player_1': 'Bénédicte Simon', 'player_2': 'Aissatou Tounkara', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Michelle De Jongh', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Victoria', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Thembi Kgatlana', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Barbara Latorre', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Gabi Nunes', 'player_2': '', 'event': 'Gol'}, {'time': 80, 'player_1': 'Vicky López', 'player_2': 'Geyse', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Ebba Hed', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Amanda Sampedro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 85, 'player_1': 'Deyna Castellanos', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Laura Domínguez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
9,30/01/22,Eibar Feminino,Madrid CFF,2,1,"[' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 7. Altonaga Echeverria ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 19. Aparicio ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 3. Gómez Sarriol ', ' 17. Matlou ', ' 13. Mieres García ']","[' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 7. Altonaga Echeverria ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 19. Aparicio ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 3. Gómez Sarriol ', ' 17. Matlou ', ' 13. Mieres García ']","[{'time': 17, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 33, 'player_1': 'Maria Llompart', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 44, 'player_1': 'Carmen Álvarez', 'player_2': '', 'event': 'Gol'}, {'time': 59, 'player_1': 'Estela Fernández', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Aida Esteve', 'player_2': '', 'event': 'Gol'}, {'time': 70, 'player_1': 'Ane Campos', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Natalie Muth', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Michelle De Jongh', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Rikke Madsen', 'player_2': 'Silvia Rubio', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Sheila Elorza', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Kuki', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
10,15/01/22,Madrid CFF,Villarreal Feminino,2,4,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 8. De Jongh ', ' 24. Madsen ', ' 18. Chikwelu ', ' 20. Leal Costa ', ' 2. Hed ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 21. Fernández Pablos ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 8. De Jongh ', ' 24. Madsen ', ' 18. Chikwelu ', ' 20. Leal Costa ', ' 2. Hed ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 21. Fernández Pablos ', ' 1. Ulloa Jiménez ']","[{'time': 7, 'player_1': 'Estefa', 'player_2': '', 'event': 'Gol'}, {'time': 12, 'player_1': 'Sheila Guijarro', 'player_2': 'Irene Miguélez', 'event': 'Gol'}, {'time': 23, 'player_1': 'Belén', 'player_2': 'Teresa Morató', 'event': 'Gol'}, {'time': 46, 'player_1': 'Monica', 'player_2': 'Ebba Hed', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Laura Domínguez', 'player_2': 'Lauren', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Itziar Pinillos', 'player_2': 'Estela Fernández', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Maria Bonsegundo', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Sheila Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 68, 'player_1': 'Itziar Pinillos', 'player_2': 'Geyse', 'event': 'Gol'}, {'time': 73, 'player_1': 'Zaira Flores', 'player_2': 'Yenifer Giménez', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Paola Soldevila', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 80, 'player_1': 'Maria Bonsegundo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 81, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Aixa García', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Nerea Pérez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Zaira Flores', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Bea Prades', 'player_2': 'Cienfu', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '15/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
11,12/01/22,Deportivo Alavés Feminino,Madrid CFF,2,1,"[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 20. Nevado Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 12. Facila ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 20. Nevado Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 12. Facila ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[{'time': 25, 'player_1': 'Lice Chamorro', 'player_2': 'Garazi Facila', 'event': 'Gol'}, {'time': 50, 'player_1': 'Maria Bonsegundo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 52, 'player_1': 'Rikke Madsen', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Osinachi Ohale', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Osinachi Ohale', 'player_2': '', 'event': 'Gol'}, {'time': 69, 'player_1': 'Lauren', 'player_2': 'Itziar Pinillos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Estela Fernández', 'player_2': 'Silvia Rubio', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Jana Henseler', 'player_2': 'Cris Cornejo', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Gema Soliveres', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Ebba Hed', 'player_2': 'Michelle De Jongh', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Sanadri', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Urru', 'player_2': 'Nerea Nevado', 'event': 'Substituição'}, {'time': 98, 'player_1': 'Geyse', 'player_2': 'Ebba Hed', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
