,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Universidade Cajasol Trigueros,Real Madrid Feminino,3,1,"[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 15. Ojeda ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 14. García ', ' 1. Ashurst ']","[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 15. Ojeda ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 14. García ', ' 1. Ashurst ']","[{'time': 5, 'player_1': 'Claudia Zornoza', 'player_2': 'Pênalti', 'event': ''}, {'time': 12, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 20, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 28, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 33, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 42, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 44, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ivana Andrés', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Olga Carmona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Kristina Fisher', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Fatoumata Kanteh', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Maite Oroz', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Kosovare Asllani', 'player_2': 'Teresa Abelleira', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
1,27/03/22,Universidade Cajasol Trigueros,Real Sociedad Feminino,1,2,"[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 4, 'player_1': 'Sanni Franssi', 'player_2': 'Gabriela García', 'event': 'Gol'}, {'time': 16, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 18, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Allegra Poljak', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Synne Jensen', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Mirari Uria', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Freja Abildå', 'player_2': 'Vanesa Santana', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Fatoumata Kanteh', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Amaiur Sarriegi', 'player_2': '', 'event': 'Gol'}, {'time': 89, 'player_1': 'Nora Sarriegi', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '27/03/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
2,17/03/22,Madrid CFF,Universidade Cajasol Trigueros,1,2,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 18. Chikwelu ', ' 17. Youngju ', ' 14. Rubio Álvarez ', ' 26. Pardo Méndez ', ' 7. Domínguez Rojo ', ' 5. Monica ', ' 3. da Costa Silva ', ' 20. Leal Costa ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 18. Chikwelu ', ' 17. Youngju ', ' 14. Rubio Álvarez ', ' 26. Pardo Méndez ', ' 7. Domínguez Rojo ', ' 5. Monica ', ' 3. da Costa Silva ', ' 20. Leal Costa ', ' 1. Ulloa Jiménez ']","[{'time': 26, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 39, 'player_1': 'Geyse', 'player_2': 'Gabi Nunes', 'event': 'Gol'}, {'time': 55, 'player_1': 'Cinta Del Mar', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Chini Pizarro', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Mayra Ramírez', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Maria Bonsegundo', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Ebba Hed', 'player_2': 'Silvia Rubio', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Geyse', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 80, 'player_1': 'Judith Luzuriaga', 'player_2': 'Kristina Fisher', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Victoria', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Rikke Madsen', 'player_2': 'Lucía Pardo', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Victoria', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Lee Youngju', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Maria Bonsegundo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 116, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 119, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 120, 'player_1': 'Daiane', 'player_2': 'Antônia', 'event': 'Substituição'}, {'time': 121, 'player_1': 'Ana Marcos', 'player_2': 'Mayra Ramírez', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '17/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
3,12/03/22,Eibar Feminino,Universidade Cajasol Trigueros,1,2,"[' 9. Rodriguez González ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 12. Muth ', ' 6. Llompart Pons ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 13. Mieres García ']","[' 9. Rodriguez González ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 12. Muth ', ' 6. Llompart Pons ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 13. Mieres García ']","[{'time': 22, 'player_1': 'Hannah Keane', 'player_2': '', 'event': 'Gol'}, {'time': 24, 'player_1': 'Racheal Kundananji', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Noko Matlou', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Aida Esteve', 'player_2': 'Kuki', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Sandra Castelló', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 67, 'player_1': 'Aida Esteve', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 73, 'player_1': 'Ana Marcos', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Hannah Keane', 'player_2': 'Vanesa Santana', 'event': 'Gol'}, {'time': 80, 'player_1': 'Ana de Teresa', 'player_2': 'Carla Morera', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Arene Altonaga', 'player_2': 'Ane Campos', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Judith Luzuriaga', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Carmen Álvarez', 'player_2': 'Ruth Álvarez', 'event': 'Gol'}, {'time': 96, 'player_1': 'Natalie Muth', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
4,06/03/22,Universidade Cajasol Trigueros,Rayo Valhecano Feminino,1,1,"[' 12. Keane ', ' 9. Ramírez Ramírez ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 18. Sørensen Abildå ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 12. Keane ', ' 9. Ramírez Ramírez ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 18. Sørensen Abildå ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 53, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Amanda Edgren', 'player_2': 'Freja Abildå', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
5,03/03/22,Universidade Cajasol Trigueros,Atlético de Madrid Feminino,2,1,"[' 12. Keane ', ' 17. Pizarro Mingo ', ' 20. Edgren ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 13. Dolan ']","[' 12. Keane ', ' 17. Pizarro Mingo ', ' 20. Edgren ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 13. Dolan ']","[{'time': 37, 'player_1': 'Hannah Keane', 'player_2': 'Amanda Edgren', 'event': 'Gol'}, {'time': 51, 'player_1': 'Ana Carol', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Freja Abildå', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Mayra Ramírez', 'player_2': 'Sandra Castelló', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Gol'}, {'time': 65, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Ludmila', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Estefania Banini', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Barbara Latorre', 'player_2': 'Thembi Kgatlana', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 70, 'player_1': 'Judith Luzuriaga', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Aissatou Tounkara', 'player_2': 'Hanna Lundkvist', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Emily Dolan', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '03/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Nuevo Colombino'}]"
6,12/02/22,Real Betis Feminino,Universidade Cajasol Trigueros,0,0,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 12. Peña Ruiz ', ' 24. Benitez ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 12. Peña Ruiz ', ' 24. Benitez ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 27, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Rinsola Babajide', 'player_2': 'Leire Peña', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Cinta Del Mar', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 51, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Victoria Benitez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 73, 'player_1': 'Chini Pizarro', 'player_2': 'Mayra Ramírez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Stefanie da Eira', 'player_2': 'Eva Llamas', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Matilde Fidalgo', 'player_2': 'Victoria Benitez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Laura Moreno', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Paula Romero', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Laurina', 'player_2': 'Andrea Medina', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
7,06/02/22,Universidade Cajasol Trigueros,Athletic Bilbao Feminino,2,0,"[' 12. Keane ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 9. Ramírez Ramírez ', ' 16. Castelló Oliver ', ' 4. Santana ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 1. Ashurst ']","[' 12. Keane ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 9. Ramírez Ramírez ', ' 16. Castelló Oliver ', ' 4. Santana ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 1. Ashurst ']","[{'time': 9, 'player_1': 'Ana Marcos', 'player_2': 'Mayra Ramírez', 'event': 'Gol'}, {'time': 39, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula Arana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 73, 'player_1': 'Garazi Murua', 'player_2': 'Lucía García', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Erika Vazquez', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Ane Azkona', 'player_2': 'Oihane Hernández', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Paula Romero', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Clara Pinedo', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
8,02/02/22,UDG Tenerife,Universidade Cajasol Trigueros,1,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[{'time': 14, 'player_1': 'Chelsea Ashurst', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Paola Hernández', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Chini Pizarro', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Jassina Blom', 'event': 'Gol'}, {'time': 60, 'player_1': 'Judith Luzuriaga', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Paula Romero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Paula García', 'player_2': 'Paula Romero', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ange Nguessan', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Cristina Gey', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Freja Abildå', 'player_2': 'Vanesa Santana', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Gisela Robledo', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Jassina Blom', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Noelia Ramos', 'player_2': 'Aline', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Claire Falknor', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 95, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
9,30/01/22,Universidade Cajasol Trigueros,Levante Feminino,1,1,"[' 12. Keane ', ' 11. Marcos Moral ', ' 9. Ramírez Ramírez ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 3. Dias de Almeida Sampaio ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 12. Keane ', ' 11. Marcos Moral ', ' 9. Ramírez Ramírez ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 3. Dias de Almeida Sampaio ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 3, 'player_1': 'Gio', 'player_2': 'Nataša Andonova', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana Marcos', 'player_2': 'Cinta Del Mar', 'event': 'Gol'}, {'time': 63, 'player_1': 'Carol', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Judith Luzuriaga', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Andrea Falcón', 'player_2': 'Giovanna', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Alba Redondo', 'player_2': 'Jucinara', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Paula Romero', 'player_2': 'Ana Carol', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
10,26/01/22,Oviedo Moderno,Universidade Cajasol Trigueros,1,4,"[' 24. Menéndez García ', ' 8. Ibarrola García ', ' 10. Corte Peláez ', ' 21. Osorio Bosqued ', ' 18. Requena Nadal ', ' 12. Crespo Iglesias ', ' 17. Gómez Torres ', ' 6. Vallejo Blázquez ', ' 7. Iglesias Orviz ', ' 19. Moro Begega ', ' 13. Hoyas Fernández ']","[' 24. Menéndez García ', ' 8. Ibarrola García ', ' 10. Corte Peláez ', ' 21. Osorio Bosqued ', ' 18. Requena Nadal ', ' 12. Crespo Iglesias ', ' 17. Gómez Torres ', ' 6. Vallejo Blázquez ', ' 7. Iglesias Orviz ', ' 19. Moro Begega ', ' 13. Hoyas Fernández ']","[{'time': 17, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 28, 'player_1': 'Isina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 44, 'player_1': 'Mayra Ramírez', 'player_2': 'Pênalti', 'event': ''}, {'time': 49, 'player_1': 'Ana Marcos', 'player_2': 'Vanesa Santana', 'event': 'Gol'}, {'time': 57, 'player_1': 'Carlota Suárez', 'player_2': 'Anina', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Yarima Font', 'player_2': 'Irantzu Ibarrola', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Ana Buceta', 'player_2': 'Mariana Crespo', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Freja Abildå', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Cristina Gey', 'player_2': 'Ana Carol', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Judith Luzuriaga', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Amanda Edgren', 'player_2': 'Mayra Ramírez', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Kristina Fisher', 'player_2': 'Leticia Méndez', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Rebeca Oliveira', 'player_2': 'María Requena', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Yannel Correa', 'player_2': 'Lucía Vallejo', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Amanda Edgren', 'player_2': 'Ana Marcos', 'event': 'Gol'}, {'time': 90, 'player_1': 'Carlota Suárez', 'player_2': '', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones Deportivas Municipales Tensi'}]"
11,16/01/22,Atlético de Madrid Feminino,Universidade Cajasol Trigueros,3,2,"[' 16. Ajibade ', ' 9. Castellanos Naujenis ', ' 21. García Gómez ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 1. Lindahl ']","[' 16. Ajibade ', ' 9. Castellanos Naujenis ', ' 21. García Gómez ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 1. Lindahl ']","[{'time': 12, 'player_1': 'Paula Romero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 31, 'player_1': 'Ana Marcos', 'player_2': 'Pênalti', 'event': ''}, {'time': 63, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 67, 'player_1': 'Estefania Banini', 'player_2': 'Aissatou Tounkara', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Barbara Latorre', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Ana Carol', 'player_2': 'Paula Romero', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Gol'}, {'time': 74, 'player_1': 'Freja Abildå', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Silvia Meseguer', 'player_2': 'Carmen Menayo', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Ludmila', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Ludmila', 'player_2': 'Maitane López', 'event': 'Gol'}, {'time': 90, 'player_1': 'Deyna Castellanos', 'player_2': 'Estefania Banini', 'event': 'Gol'}, {'time': 94, 'player_1': 'Cinta Del Mar', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 95, 'player_1': 'Deyna Castellanos', 'player_2': 'Pênalti', 'event': ''}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '16/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
