,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Universidade Cajasol Trigueros,Real Madrid Feminino,3,1,"[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 15. Ojeda ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 14. García ', ' 1. Ashurst ']","[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 15. Ojeda ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 14. García ', ' 1. Ashurst ']","[{'time': 5, 'player_1': 'Claudia Zornoza', 'player_2': 'Pênalti', 'event': ''}, {'time': 12, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 20, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 28, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 33, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 42, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 44, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ivana Andrés', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Olga Carmona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Kristina Fisher', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Fatoumata Kanteh', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Maite Oroz', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Kosovare Asllani', 'player_2': 'Teresa Abelleira', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
1,30/03/22,Barcelona Feminino,Real Madrid Feminino,5,2,"[' 6. Pina Medina ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 14. Bonmatí ', ' 16. Rolfo ', ' 4. León ', ' 2. Paredes ', ' 8. Torrejón ', ' 1. Paños ']","[' 6. Pina Medina ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 14. Bonmatí ', ' 16. Rolfo ', ' 4. León ', ' 2. Paredes ', ' 8. Torrejón ', ' 1. Paños ']","[{'time': 8, 'player_1': 'María León', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 12, 'player_1': 'Lucía Rodríguez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 15, 'player_1': 'Irene Paredes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 16, 'player_1': 'Olga Carmona', 'player_2': 'Pênalti', 'event': ''}, {'time': 48, 'player_1': 'Claudia Zornoza', 'player_2': 'Maite Oroz', 'event': 'Gol'}, {'time': 52, 'player_1': 'Aitana Bonmatí', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 55, 'player_1': 'Claudia Pina', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 62, 'player_1': 'Alexia Putellas', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Nahikari García', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Caroline Graham Hansen', 'player_2': '', 'event': 'Gol'}, {'time': 72, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Leila Ouhabi', 'player_2': 'Jennifer Hermoso', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Marta Torrejón', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Sofie Svava', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Rocío Gálvez', 'player_2': 'Babett Peter', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Melani Serrano', 'player_2': 'Claudia Pina', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Claudia', 'player_2': 'Teresa Abelleira', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Alexia Putellas', 'player_2': '', 'event': 'Cartão amarelo'}]","[{'home_team_stat': '67%', 'away_team_stat': '33%', 'stat_name': 'POSSE DE BOLA'}, {'home_team_stat': '25', 'away_team_stat': '5', 'stat_name': 'TOTAL DE CHUTES'}, {'home_team_stat': '6', 'away_team_stat': '2', 'stat_name': 'CHUTES AO GOL'}, {'home_team_stat': '60%', 'away_team_stat': '40%', 'stat_name': 'DISPUTAS GANHAS'}]","[{'info_title': 'Competição', 'info_content': 'Liga dos Campeões Feminina da UEFA'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Camp Nou'}]"
2,26/03/22,Real Madrid Feminino,Levante Feminino,1,0,"[' 14. García ', ' 10. Gonzalez ', ' 21. Zornoza Sánchez ', ' 22. del Castillo Belvide ', ' 3. Abelleira Dueñas ', ' 8. Oroz Areta ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 14. García ', ' 10. Gonzalez ', ' 21. Zornoza Sánchez ', ' 22. del Castillo Belvide ', ' 3. Abelleira Dueñas ', ' 8. Oroz Areta ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 16, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 30, 'player_1': 'Irene Guerrero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 32, 'player_1': 'Fiamma Iannuzzi', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Andrea Falcón', 'player_2': 'Érika González', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Tatiana Pinto', 'player_2': 'Gio', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Silvia Lloris', 'player_2': 'Paula Tomás', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Caroline Møller', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Olga Carmona', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carla Camacho', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Lorena Navarro', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carol', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Lorena Navarro', 'player_2': 'Esther Gonzalez', 'event': 'Gol'}, {'time': 91, 'player_1': 'Lucía Rodríguez', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
3,22/03/22,Real Madrid Feminino,Barcelona Feminino,1,3,"[' 10. Gonzalez ', ' 7. Carmona García ', ' 8. Oroz Areta ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 4. Peter ', ' 18. Rodríguez Herrero ', ' 1. Rodríguez Rivero ']","[' 10. Gonzalez ', ' 7. Carmona García ', ' 8. Oroz Areta ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 4. Peter ', ' 18. Rodríguez Herrero ', ' 1. Rodríguez Rivero ']","[{'time': 8, 'player_1': 'Olga Carmona', 'player_2': 'Esther Gonzalez', 'event': 'Gol'}, {'time': 31, 'player_1': 'Aitana Bonmatí', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Leila Ouhabi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 36, 'player_1': 'Olga Carmona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Alexia Putellas', 'player_2': 'Pênalti', 'event': ''}, {'time': 65, 'player_1': 'Irene Paredes', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Ivana Andrés', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Teresa Abelleira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 78, 'player_1': 'Nahikari García', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Lucía Rodríguez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 85, 'player_1': 'Esther Gonzalez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 94, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}]","[{'home_team_stat': '35%', 'away_team_stat': '65%', 'stat_name': 'POSSE DE BOLA'}, {'home_team_stat': '6', 'away_team_stat': '18', 'stat_name': 'TOTAL DE CHUTES'}, {'home_team_stat': '3', 'away_team_stat': '5', 'stat_name': 'CHUTES AO GOL'}, {'home_team_stat': '43%', 'away_team_stat': '57%', 'stat_name': 'DISPUTAS GANHAS'}]","[{'info_title': 'Competição', 'info_content': 'Liga dos Campeões Feminina da UEFA'}, {'info_title': 'Início', 'info_content': '22/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
4,19/03/22,Real Madrid Feminino,UDG Tenerife,2,0,"[' 14. García ', ' 10. Gonzalez ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 16. Møller Hansen ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 23. Svava ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 14. García ', ' 10. Gonzalez ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 16. Møller Hansen ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 23. Svava ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 14, 'player_1': 'Rocío Gálvez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 28, 'player_1': 'Rocío Gálvez', 'player_2': 'Claudia Zornoza', 'event': 'Gol'}, {'time': 46, 'player_1': 'Jassina Blom', 'player_2': 'Ange Nguessan', 'event': 'Substituição'}, {'time': 48, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Jassina Blom', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Olga Carmona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Maite Oroz', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Paola Hernández', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Maite Oroz', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Gol'}, {'time': 87, 'player_1': 'Carla Camacho', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Babett Peter', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Paula Partido', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '19/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
5,13/03/22,Barcelona Feminino,Real Madrid Feminino,5,0,"[' 14. Bonmatí ', ' 16. Rolfo ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 10. Hermoso ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 1. Paños ']","[' 14. Bonmatí ', ' 16. Rolfo ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 10. Hermoso ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 1. Paños ']","[{'time': 41, 'player_1': 'Alexia Putellas', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 43, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sofie Svava', 'player_2': 'Aurélie Kaci', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Patricia Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 65, 'player_1': 'Babett Peter', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 66, 'player_1': 'Nahikari García', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Jennifer Hermoso', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 83, 'player_1': 'Melani Serrano', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'María Pérez', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
6,09/03/22,Atlético de Madrid Feminino,Real Madrid Feminino,0,2,"[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 6. Sampedro ', ' 10. Santos ', ' 15. Meseguer ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 7. López Millán ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 6. Sampedro ', ' 10. Santos ', ' 15. Meseguer ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 7. López Millán ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 30, 'player_1': 'Caroline Møller', 'player_2': 'Athenea del Castillo', 'event': 'Gol'}, {'time': 54, 'player_1': 'Esther Gonzalez', 'player_2': 'Caroline Møller', 'event': 'Gol'}, {'time': 69, 'player_1': 'Ludmila', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Aissatou Tounkara', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Lucía Rodríguez', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Maite Oroz', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Laia Aleixandri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Kosovare Asllani', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 89, 'player_1': 'Teresa Abelleira', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
7,05/03/22,Real Madrid Feminino,Athletic Bilbao Feminino,2,0,"[' 9. Asllani ', ' 22. del Castillo Belvide ', ' 10. Gonzalez ', ' 8. Oroz Areta ', ' 6. Kaci ', ' 21. Zornoza Sánchez ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 9. Asllani ', ' 22. del Castillo Belvide ', ' 10. Gonzalez ', ' 8. Oroz Areta ', ' 6. Kaci ', ' 21. Zornoza Sánchez ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 68, 'player_1': 'Nahikari García', 'player_2': 'Kosovare Asllani', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Teresa Abelleira', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Peke Barea', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Gol'}, {'time': 78, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Mariana Cerro', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Paula Arana', 'player_2': 'Eunate Arraiza', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Nahikari García', 'player_2': 'Claudia Zornoza', 'event': 'Gol'}, {'time': 90, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Claudia', 'player_2': 'Ivana Andrés', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Olga Carmona', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '05/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
8,01/03/22,Alhama,Real Madrid Feminino,0,3,"[' 11. García Quiles ', ' 7. Carid Cao ', ' 19. Martí Serna ', ' 25. Arques Lázaro ', ' 8. Salazar ', ' 18. Rubio ', ' 14. Vicente Fernández ', ' 4. Caravaca Muñoz ', ' 3. Pérez Sánchez ', ' 12. González Ortuño ', ' 1. Martínez Martínez ']","[' 11. García Quiles ', ' 7. Carid Cao ', ' 19. Martí Serna ', ' 25. Arques Lázaro ', ' 8. Salazar ', ' 18. Rubio ', ' 14. Vicente Fernández ', ' 4. Caravaca Muñoz ', ' 3. Pérez Sánchez ', ' 12. González Ortuño ', ' 1. Martínez Martínez ']","[{'time': 30, 'player_1': 'Babett Peter', 'player_2': 'Teresa Abelleira', 'event': 'Gol'}, {'time': 46, 'player_1': 'Athenea del Castillo', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Maria Coronel', 'player_2': 'África González', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Olga Carmona', 'player_2': 'Lorena Navarro', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Esther Gonzalez', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Sara Martín', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Paula García', 'player_2': 'Nerea Vicente', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Rocío Gálvez', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Paula González', 'player_2': 'Daniela Arques', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Esther Gonzalez', 'player_2': 'Teresa Abelleira', 'event': 'Gol'}, {'time': 94, 'player_1': 'Laura Sánchez', 'player_2': 'Marina Martí', 'event': 'Substituição'}, {'time': 95, 'player_1': 'Claudia Zornoza', 'player_2': 'Pênalti', 'event': ''}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '01/03/22'}, {'info_title': 'Estádio', 'info_content': 'Campo de Fútbol José María Soriano Muñoz'}]"
9,13/02/22,Eibar Feminino,Real Madrid Feminino,0,2,"[' 11. Morera Rincón ', ' 23. Kundananji ', ' 16. Álvarez Sánchez ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 2. Pérez Etxeberria ', ' 17. Matlou ', ' 13. Mieres García ']","[' 11. Morera Rincón ', ' 23. Kundananji ', ' 16. Álvarez Sánchez ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 2. Pérez Etxeberria ', ' 17. Matlou ', ' 13. Mieres García ']","[{'time': 46, 'player_1': 'Marta Cardona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Maria Llompart', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Kosovare Asllani', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Athenea del Castillo', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Ane Campos', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Arene Altonaga', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Marta Cardona', 'player_2': '', 'event': 'Gol'}, {'time': 79, 'player_1': 'Aurélie Kaci', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sheila Elorza', 'player_2': 'Natalie Muth', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Kuki', 'player_2': 'Puyi', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Elba Verges', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 90, 'player_1': 'Ivana Andrés', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Ana de Teresa', 'player_2': 'Carla Morera', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
10,06/02/22,Real Madrid Feminino,Real Betis Feminino,1,0,"[' 7. Carmona García ', ' 9. Asllani ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 10. Gonzalez ', ' 23. Svava ', ' 5. Andrés ', ' 20. Gálvez Luna ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 7. Carmona García ', ' 9. Asllani ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 10. Gonzalez ', ' 23. Svava ', ' 5. Andrés ', ' 20. Gálvez Luna ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 29, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 31, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Ivana Andrés', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Brianne Folds', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 57, 'player_1': 'María Valle', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Caroline Møller', 'player_2': 'Sofie Svava', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Marta Cardona', 'player_2': 'Kosovare Asllani', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Maite Oroz', 'player_2': 'Aurélie Kaci', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Esther Gonzalez', 'player_2': 'Ivana Andrés', 'event': 'Gol'}, {'time': 76, 'player_1': 'Matilde Fidalgo', 'player_2': 'Nuria Ligero', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Laura Moreno', 'player_2': 'María Valle', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Stefanie da Eira', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Laurina', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Teresa Abelleira', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
