,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Levante Feminino,Sevilha Feminino,3,0,"[' 11. Redondo ', ' 5. Queiroz Costa ', ' 15. Pinto ', ' 10. Andonova ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 16. Soares Paz ', ' 19. Calligaris ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 13. Părăluță ']","[' 11. Redondo ', ' 5. Queiroz Costa ', ' 15. Pinto ', ' 10. Andonova ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 16. Soares Paz ', ' 19. Calligaris ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 13. Părăluță ']","[{'time': 23, 'player_1': 'Jessica Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Gio', 'player_2': '', 'event': 'Gol'}, {'time': 33, 'player_1': 'Leire Baños', 'player_2': '', 'event': 'Gol'}, {'time': 59, 'player_1': 'Sandie Toletti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Estela Carbonell', 'player_2': 'Jucinara', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Ana Franco', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Michele Vasconcelos', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Teresa Merida', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Carol', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Andrea Falcón', 'player_2': 'Gio', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Nagore Calderón', 'player_2': 'Teresa Merida', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carol', 'player_2': 'Tatiana Pinto', 'event': 'Gol'}, {'time': 82, 'player_1': 'Érika González', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Fiamma Iannuzzi', 'player_2': 'Tatiana Pinto', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
1,30/03/22,Levante Feminino,Deportivo Alavés Feminino,3,0,"[' 9. Benítez Iannuzzi ', ' 14. Férez Méndez ', ' 23. Falcón ', ' 2. González Lombídez ', ' 15. Pinto ', ' 6. Toletti ', ' 16. Soares Paz ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 20. Tomás Serer ', ' 13. Părăluță ']","[' 9. Benítez Iannuzzi ', ' 14. Férez Méndez ', ' 23. Falcón ', ' 2. González Lombídez ', ' 15. Pinto ', ' 6. Toletti ', ' 16. Soares Paz ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 20. Tomás Serer ', ' 13. Părăluță ']","[{'time': 21, 'player_1': 'Silvia Lloris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Carol', 'player_2': 'Sandie Toletti', 'event': 'Gol'}, {'time': 58, 'player_1': 'Alba Redondo', 'player_2': 'Érika González', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Nataša Andonova', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Irene Guerrero', 'player_2': 'Tatiana Pinto', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Ane Miren', 'player_2': 'Sanadri', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Lice Chamorro', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Miriam Diéguez', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Gio', 'player_2': 'Carol', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Jordan Clark', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Núria Mendoza', 'player_2': 'Irene Guerrero', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Paula Tomás', 'player_2': 'Jucinara', 'event': 'Gol'}, {'time': 89, 'player_1': 'Mery', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Andrea Falcón', 'player_2': 'Sandie Toletti', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
2,26/03/22,Real Madrid Feminino,Levante Feminino,1,0,"[' 14. García ', ' 10. Gonzalez ', ' 21. Zornoza Sánchez ', ' 22. del Castillo Belvide ', ' 3. Abelleira Dueñas ', ' 8. Oroz Areta ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 14. García ', ' 10. Gonzalez ', ' 21. Zornoza Sánchez ', ' 22. del Castillo Belvide ', ' 3. Abelleira Dueñas ', ' 8. Oroz Areta ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 16, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 30, 'player_1': 'Irene Guerrero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 32, 'player_1': 'Fiamma Iannuzzi', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Andrea Falcón', 'player_2': 'Érika González', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Tatiana Pinto', 'player_2': 'Gio', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Silvia Lloris', 'player_2': 'Paula Tomás', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Caroline Møller', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Olga Carmona', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carla Camacho', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Lorena Navarro', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carol', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Lorena Navarro', 'player_2': 'Esther Gonzalez', 'event': 'Gol'}, {'time': 91, 'player_1': 'Lucía Rodríguez', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
3,20/03/22,Villarreal Feminino,Levante Feminino,0,2,"[' 19. Martínez Sousa ', ' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 20. Campo Franco ', ' 6. Cienfuegos Baragaño ', ' 14. Pérez Machado ', ' 15. Lara ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 18. Soldevila de la Pisa ', ' 1. de Toro Aldaria ']","[' 19. Martínez Sousa ', ' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 20. Campo Franco ', ' 6. Cienfuegos Baragaño ', ' 14. Pérez Machado ', ' 15. Lara ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 18. Soldevila de la Pisa ', ' 1. de Toro Aldaria ']","[{'time': 19, 'player_1': 'Sandie Toletti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Alba Redondo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Sandie Toletti', 'player_2': 'Andrea Falcón', 'event': 'Gol'}, {'time': 64, 'player_1': 'Leire Baños', 'player_2': 'Aldana Cornetti', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Paula Tomás', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Estefa', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Salma Paralluelo', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Irene Guerrero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Alba Redondo', 'player_2': 'Gio', 'event': 'Gol'}, {'time': 85, 'player_1': 'Tatiana Pinto', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Carol', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Zaira Flores', 'player_2': 'Ainoa Campo', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Raquel Pinel', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '20/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
4,03/03/22,Real Betis Feminino,Levante Feminino,1,4,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 20. Babajide ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 20. Babajide ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 12, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Gol'}, {'time': 25, 'player_1': 'Eva Llamas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 36, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 40, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Viola Calligaris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Alba Redondo', 'player_2': 'Carol', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Silvia Lloris', 'player_2': 'Paula Tomás', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Ana González', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 70, 'player_1': 'Alba Redondo', 'player_2': 'Irene Guerrero', 'event': 'Gol'}, {'time': 71, 'player_1': 'Mari Paz Vilas', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Victoria Benitez', 'player_2': 'Dorine', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Laura Moreno', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Stefanie da Eira', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Érika González', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 81, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 86, 'player_1': 'Andrea Falcón', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Lucía Méndez', 'player_2': 'Eva Llamas', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Victoria Benitez', 'player_2': '', 'event': 'Gol'}, {'time': 92, 'player_1': 'Alba Redondo', 'player_2': 'Sandie Toletti', 'event': 'Gol'}, {'time': 95, 'player_1': 'Andrea Falcón', 'player_2': 'Alba Redondo', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '03/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
5,13/02/22,Levante Feminino,Real Sociedad Feminino,1,0,"[' 9. Benítez Iannuzzi ', ' 11. Redondo ', ' 15. Pinto ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 10. Andonova ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 19. Calligaris ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[' 9. Benítez Iannuzzi ', ' 11. Redondo ', ' 15. Pinto ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 10. Andonova ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 19. Calligaris ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[{'time': 14, 'player_1': 'Nerea Eizagirre', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 23, 'player_1': 'Núria Mendoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Gabriela García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Nataša Andonova', 'player_2': '', 'event': 'Gol'}, {'time': 69, 'player_1': 'Synne Jensen', 'player_2': 'Gabriela García', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Sandie Toletti', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Mirari Uria', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Iraia Iparraguirre', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Andrea Falcón', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
6,09/02/22,Levante Feminino,Rayo Valhecano Feminino,4,2,"[' 9. Benítez Iannuzzi ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 23. Falcón ', ' 12. Baños Indakoetxea ', ' 15. Pinto ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[' 9. Benítez Iannuzzi ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 23. Falcón ', ' 12. Baños Indakoetxea ', ' 15. Pinto ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[{'time': 7, 'player_1': 'Silvia Lloris', 'player_2': 'Nataša Andonova', 'event': 'Gol'}, {'time': 16, 'player_1': 'Érika González', 'player_2': 'Giovanna', 'event': 'Substituição'}, {'time': 21, 'player_1': 'Érika González', 'player_2': 'Fiamma Iannuzzi', 'event': 'Gol'}, {'time': 21, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 28, 'player_1': 'Silvia Lloris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Nataša Andonova', 'player_2': '', 'event': 'Gol'}, {'time': 38, 'player_1': 'Cecilie Struck', 'player_2': '', 'event': 'Gol'}, {'time': 47, 'player_1': 'Silvia Lloris', 'player_2': 'Núria Mendoza', 'event': 'Gol'}, {'time': 59, 'player_1': 'Pauleta', 'player_2': 'Danielle Hayden', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Aldana Cornetti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Carol', 'player_2': 'Silvia Lloris', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Alba Redondo', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Estela Carbonell', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Millene Cabral', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Paula Fernández', 'player_2': '', 'event': 'Gol'}, {'time': 78, 'player_1': 'Viola Calligaris', 'player_2': 'Núria Mendoza', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Pauleta', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Yoko Tanaka', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Claudia Cabezas', 'player_2': 'Isadora Freitas', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
7,06/02/22,Valência Feminino,Levante Feminino,2,0,"[' 30. Aguado ', ' 17. Jansen ', ' 15. Martín-Pozuelo Aranda ', ' 8. Andújar Jiménez ', ' 21. Torrodà Ricart ', ' 6. Guerrero ', ' 19. Real ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 1. Salón ']","[' 30. Aguado ', ' 17. Jansen ', ' 15. Martín-Pozuelo Aranda ', ' 8. Andújar Jiménez ', ' 21. Torrodà Ricart ', ' 6. Guerrero ', ' 19. Real ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 1. Salón ']","[{'time': 24, 'player_1': 'Candela Andújar', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Gol'}, {'time': 35, 'player_1': 'Julia Aguado', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 44, 'player_1': 'Esther Martín-Pozuelo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Tatiana Pinto', 'player_2': 'Irene Guerrero', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Anna Torrodà', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Gol'}, {'time': 58, 'player_1': 'Giovanna', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Nataša Andonova', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Iina Salmi', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Sofía Álvarez', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
8,02/02/22,Levante Feminino,Barcelona Feminino,1,4,"[' 14. Férez Méndez ', ' 15. Pinto ', ' 5. Queiroz Costa ', ' 8. Guerrero Sanmartín ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 19. Calligaris ', ' 24. Korenčiová ']","[' 14. Férez Méndez ', ' 15. Pinto ', ' 5. Queiroz Costa ', ' 8. Guerrero Sanmartín ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 19. Calligaris ', ' 24. Korenčiová ']","[{'time': 25, 'player_1': 'Asisat Oshoala', 'player_2': '', 'event': 'Gol'}, {'time': 25, 'player_1': 'Irene Guerrero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 33, 'player_1': 'Patricia Guijarro', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 35, 'player_1': 'Jennifer Hermoso', 'player_2': 'Lieke Martens', 'event': 'Gol'}, {'time': 46, 'player_1': 'Alba Redondo', 'player_2': 'Carol', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Giovanna', 'player_2': 'Gio', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Caroline Graham Hansen', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 62, 'player_1': 'Claudia Pina', 'player_2': 'Jennifer Hermoso', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Tatiana Pinto', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Nataša Andonova', 'player_2': 'Paula Tomás', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Andrea Falcón', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Silvia Lloris', 'player_2': 'Sandie Toletti', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Leila Ouhabi', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Martina Fernández', 'player_2': 'Marta Torrejón', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Melani Serrano', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Tatiana Pinto', 'player_2': 'Andrea Falcón', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
9,30/01/22,Universidade Cajasol Trigueros,Levante Feminino,1,1,"[' 12. Keane ', ' 11. Marcos Moral ', ' 9. Ramírez Ramírez ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 3. Dias de Almeida Sampaio ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 12. Keane ', ' 11. Marcos Moral ', ' 9. Ramírez Ramírez ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 3. Dias de Almeida Sampaio ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 3, 'player_1': 'Gio', 'player_2': 'Nataša Andonova', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana Marcos', 'player_2': 'Cinta Del Mar', 'event': 'Gol'}, {'time': 63, 'player_1': 'Carol', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Judith Luzuriaga', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Andrea Falcón', 'player_2': 'Giovanna', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Alba Redondo', 'player_2': 'Jucinara', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Paula Romero', 'player_2': 'Ana Carol', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
10,16/01/22,Levante Feminino,Athletic Bilbao Feminino,2,3,"[' 11. Redondo ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 6. Toletti ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 20. Tomás Serer ', ' 19. Calligaris ', ' 3. Mendoza Miralles ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[' 11. Redondo ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 6. Toletti ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 20. Tomás Serer ', ' 19. Calligaris ', ' 3. Mendoza Miralles ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[{'time': 2, 'player_1': 'Nataša Andonova', 'player_2': 'Alba Redondo', 'event': 'Gol'}, {'time': 4, 'player_1': 'Nataša Andonova', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 12, 'player_1': 'Oihane Hernández', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 23, 'player_1': 'Lucía García', 'player_2': 'Ane Azkona', 'event': 'Gol'}, {'time': 38, 'player_1': 'Ainhoa Vicente', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Vanesa Gimber', 'player_2': 'Paula Arana', 'event': 'Gol'}, {'time': 46, 'player_1': 'Eunate Arraiza', 'player_2': 'Ainhoa Vicente', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Gio', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Itxaso Uriarte', 'player_2': 'Sophie Istillart', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Jucinara', 'player_2': 'Silvia Lloris', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Alba Redondo', 'player_2': 'Leire Baños', 'event': 'Gol'}, {'time': 68, 'player_1': 'Lucía García', 'player_2': '', 'event': 'Gol'}, {'time': 75, 'player_1': 'Irene Oguiza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 77, 'player_1': 'Peke Barea', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Aldana Cornetti', 'player_2': 'Viola Calligaris', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Carol', 'player_2': 'Giovanna', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Tatiana Pinto', 'player_2': 'Irene Guerrero', 'event': 'Substituição'}, {'time': 94, 'player_1': 'María Quiñones', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '16/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
