,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Real Sociedad Feminino,Madrid CFF,0,1,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 21. Gili ', ' 5. Torre Larrañaga ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 17. Poljak ', ' 25. Lete Para ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 21. Gili ', ' 5. Torre Larrañaga ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 17. Poljak ', ' 25. Lete Para ']","[{'time': 29, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Daiane', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 32, 'player_1': 'Itziar Pinillos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Rikke Madsen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Allegra Poljak', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Ana Tejada', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Mirari Uria', 'player_2': 'Gemma Gili', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Nuria Martinez', 'player_2': 'Daiane', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Lauren', 'player_2': 'Estela Fernández', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Synne Jensen', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Victoria', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Silvia Rubio', 'player_2': 'Geyse', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
1,27/03/22,Universidade Cajasol Trigueros,Real Sociedad Feminino,1,2,"[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 11. Marcos Moral ', ' 12. Keane ', ' 9. Ramírez Ramírez ', ' 20. Edgren ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 4, 'player_1': 'Sanni Franssi', 'player_2': 'Gabriela García', 'event': 'Gol'}, {'time': 16, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Gol'}, {'time': 18, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Allegra Poljak', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Synne Jensen', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Mirari Uria', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Freja Abildå', 'player_2': 'Vanesa Santana', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Fatoumata Kanteh', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Amaiur Sarriegi', 'player_2': '', 'event': 'Gol'}, {'time': 89, 'player_1': 'Nora Sarriegi', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '27/03/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
2,16/03/22,Real Sociedad Feminino,Barcelona Feminino,0,3,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 8. Arnaiz Gil ', ' 21. Gili ', ' 17. Poljak ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 18. Ramírez Gorgoso ', ' 25. Lete Para ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 8. Arnaiz Gil ', ' 21. Gili ', ' 17. Poljak ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 18. Ramírez Gorgoso ', ' 25. Lete Para ']","[{'time': 10, 'player_1': 'Claudia Pina', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 44, 'player_1': 'Patricia Guijarro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Fridolina Rolfo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Gabriela García', 'player_2': 'Allegra Poljak', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Alexia Putellas', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 56, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Manuela Vanegas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Alexia Putellas', 'player_2': '', 'event': 'Gol'}, {'time': 69, 'player_1': 'Jennifer Hermoso', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Andrea Pereira', 'player_2': 'Claudia Pina', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Synne Jensen', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Melani Serrano', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 78, 'player_1': 'María Pérez', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Mirari Uria', 'player_2': 'Gemma Gili', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gabriela García', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '16/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
3,12/03/22,Real Betis Feminino,Real Sociedad Feminino,0,3,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 10. Paz Vilas Dono ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 20. Babajide ', ' 5. Valle López ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 10. Paz Vilas Dono ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 20. Babajide ', ' 5. Valle López ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 16, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Nerea Eizagirre', 'player_2': 'Pênalti', 'event': ''}, {'time': 19, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 26, 'player_1': 'Gemma Gili', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Amaiur Sarriegi', 'player_2': '', 'event': 'Gol'}, {'time': 68, 'player_1': 'Synne Jensen', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Synne Jensen', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 77, 'player_1': 'Stefanie da Eira', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Mirari Uria', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Allegra Poljak', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Paula Perea', 'player_2': 'Ana González', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Laura Moreno', 'player_2': 'María Valle', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Nuria Ligero', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Matilde Fidalgo', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Ana Tejada', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Elene Viles', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
4,06/03/22,Real Sociedad Feminino,Eibar Feminino,2,1,"[' 16. García Segura ', ' 20. Kinden Jensen ', ' 7. Sarriegi Isasa ', ' 6. Etxezarreta Ayerbe ', ' 23. Sarasola Beain ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 18. Ramírez Gorgoso ', ' 9. Franssi ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[' 16. García Segura ', ' 20. Kinden Jensen ', ' 7. Sarriegi Isasa ', ' 6. Etxezarreta Ayerbe ', ' 23. Sarasola Beain ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 18. Ramírez Gorgoso ', ' 9. Franssi ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[{'time': 3, 'player_1': 'Natalie Muth', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 27, 'player_1': 'Nuria Rábano', 'player_2': 'Izarne Sarasola', 'event': 'Substituição'}, {'time': 30, 'player_1': 'Racheal Kundananji', 'player_2': 'Carmen Álvarez', 'event': 'Gol'}, {'time': 61, 'player_1': 'Gemma Gili', 'player_2': 'Synne Jensen', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Allegra Poljak', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Arene Altonaga', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Sheila Elorza', 'player_2': 'Natalie Muth', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Mirari Uria', 'player_2': 'Emma Ramírez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Gemma Gili', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 82, 'player_1': 'Elba Verges', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 85, 'player_1': 'Puyi', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Queralt Gómez', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Nerea Eizagirre', 'player_2': 'Manuela Vanegas', 'event': 'Gol'}, {'time': 96, 'player_1': 'Arene Altonaga', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
5,02/03/22,Villarreal Feminino,Real Sociedad Feminino,1,2,"[' 17. Morató Armengol ', ' 10. Pinel Sáez ', ' 19. Martínez Sousa ', ' 16. Prades Insa ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 15. Lara ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 13. Tajonar ']","[' 17. Morató Armengol ', ' 10. Pinel Sáez ', ' 19. Martínez Sousa ', ' 16. Prades Insa ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 15. Lara ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 13. Tajonar ']","[{'time': 3, 'player_1': 'Nerea Eizagirre', 'player_2': 'Pênalti', 'event': ''}, {'time': 22, 'player_1': 'Synne Jensen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 24, 'player_1': 'Nerea Eizagirre', 'player_2': 'Sanni Franssi', 'event': 'Gol'}, {'time': 32, 'player_1': 'Manuela Vanegas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Nerea Pérez', 'player_2': 'Olivia Oprea', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Yenifer Giménez', 'player_2': 'Irene Miguélez', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ainoa Campo', 'player_2': 'Raquel Pinel', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Mirari Uria', 'player_2': 'Synne Jensen', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Gemma Gili', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Sheila Guijarro', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Izarne Sarasola', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Iris Arnaiz', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Cienfu', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Sheila Guijarro', 'player_2': 'Pênalti', 'event': ''}, {'time': 92, 'player_1': 'Allegra Poljak', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
6,13/02/22,Levante Feminino,Real Sociedad Feminino,1,0,"[' 9. Benítez Iannuzzi ', ' 11. Redondo ', ' 15. Pinto ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 10. Andonova ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 19. Calligaris ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[' 9. Benítez Iannuzzi ', ' 11. Redondo ', ' 15. Pinto ', ' 12. Baños Indakoetxea ', ' 8. Guerrero Sanmartín ', ' 10. Andonova ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 19. Calligaris ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[{'time': 14, 'player_1': 'Nerea Eizagirre', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 23, 'player_1': 'Núria Mendoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Gabriela García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Nataša Andonova', 'player_2': '', 'event': 'Gol'}, {'time': 69, 'player_1': 'Synne Jensen', 'player_2': 'Gabriela García', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Sandie Toletti', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Mirari Uria', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Iraia Iparraguirre', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Andrea Falcón', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
7,09/02/22,Real Sociedad Feminino,Barcelona Feminino,1,9,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 27. Uria Gabilondo ', ' 21. Gili ', ' 8. Arnaiz Gil ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 3. Tejada Jiménez ', ' 2. Iparraguirre Argandoña ', ' 1. Nanclares Romero ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 27. Uria Gabilondo ', ' 21. Gili ', ' 8. Arnaiz Gil ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 3. Tejada Jiménez ', ' 2. Iparraguirre Argandoña ', ' 1. Nanclares Romero ']","[{'time': 10, 'player_1': 'Asisat Oshoala', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Asisat Oshoala', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Izarne Sarasola', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Amaiur Sarriegi', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Fridolina Rolfo', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 59, 'player_1': 'Irene Paredes', 'player_2': 'María León', 'event': 'Gol'}, {'time': 60, 'player_1': 'Mariona Caldentey', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Claudia Pina', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Jennifer Hermoso', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Synne Jensen', 'player_2': 'Mirari Uria', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Lieke Martens', 'player_2': '', 'event': 'Gol'}, {'time': 72, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Emma Ramírez', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Leila Ouhabi', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 80, 'player_1': 'Elene Viles', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 87, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 89, 'player_1': 'Emma Ramírez', 'player_2': '', 'event': 'Gol'}, {'time': 92, 'player_1': 'Marta Torrejón', 'player_2': 'Lieke Martens', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
8,06/02/22,Real Sociedad Feminino,Atlético de Madrid Feminino,2,2,"[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 17. Poljak ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 5. Torre Larrañaga ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 17. Poljak ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 5. Torre Larrañaga ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[{'time': 7, 'player_1': 'Leicy Santos', 'player_2': '', 'event': 'Gol'}, {'time': 15, 'player_1': 'Nerea Eizagirre', 'player_2': 'Amaiur Sarriegi', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana Tejada', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Ana Tejada', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Bénédicte Simon', 'player_2': 'Laia Aleixandri', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Gabriela García', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 67, 'player_1': 'Synne Jensen', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Estefania Banini', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ludmila', 'player_2': 'Deyna Castellanos', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Ludmila', 'player_2': 'Thembi Kgatlana', 'event': 'Gol'}, {'time': 84, 'player_1': 'Gemma Gili', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Mirari Uria', 'player_2': 'Allegra Poljak', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
9,02/02/22,Real Sociedad Feminino,Real Madrid Feminino,1,3,"[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 21. Gili ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 6. Etxezarreta Ayerbe ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 21. Gili ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 6. Etxezarreta Ayerbe ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[{'time': 3, 'player_1': 'Esther Gonzalez', 'player_2': '', 'event': 'Gol'}, {'time': 12, 'player_1': 'Babett Peter', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 47, 'player_1': 'Ane Etxezarreta', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Esther Gonzalez', 'player_2': 'Sofie Svava', 'event': 'Gol'}, {'time': 54, 'player_1': 'Kosovare Asllani', 'player_2': 'Marta Cardona', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Kosovare Asllani', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Allegra Poljak', 'player_2': 'Gemma Gili', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Sanni Franssi', 'player_2': '', 'event': 'Gol'}, {'time': 73, 'player_1': 'Aurélie Kaci', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Maddi Torre', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Synne Jensen', 'player_2': 'Gabriela García', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Athenea del Castillo', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Olga Carmona', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Mirari Uria', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Claudia', 'player_2': 'Teresa Abelleira', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Esther Gonzalez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
10,29/01/22,Villarreal Feminino,Real Sociedad Feminino,1,4,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 1. de Toro Aldaria ']","[{'time': 18, 'player_1': 'Zaira Flores', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 29, 'player_1': 'Amaiur Sarriegi', 'player_2': 'Ane Etxezarreta', 'event': 'Gol'}, {'time': 47, 'player_1': 'Sanni Franssi', 'player_2': 'Iris Arnaiz', 'event': 'Gol'}, {'time': 50, 'player_1': 'Sanni Franssi', 'player_2': '', 'event': 'Gol'}, {'time': 53, 'player_1': 'Iris Arnaiz', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Maddi Torre', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Allegra Poljak', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Francisca Lara', 'player_2': 'Irene Miguélez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Paola Soldevila', 'player_2': 'Zaira Flores', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Bea Prades', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Allegra Poljak', 'player_2': 'Nerea Eizagirre', 'event': 'Gol'}, {'time': 74, 'player_1': 'Sara Medina', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Claudia Fernández', 'player_2': 'Gabriela García', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Vera Rico', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Iraia Iparraguirre', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Synne Jensen', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Sheila Guijarro', 'player_2': 'Francisca Lara', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '29/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
